3m_X,3m_Y,1m_X,1m_Y,01m_X,01m_Y
0.0580380857968711,0.0220358609950952,0.0929724831366693,0.0105785111474136,0.0835489369172598,0.011296469225286
0.0594650246675734,0.0200662086716977,0.0966567231236616,0.0104794053137861,0.0864388262059828,0.0108808431571443
0.0624250141964642,0.0177660634569693,,,0.0907414901986344,0.0105459043467616
0.0636498622876388,0.0163813399109739,,,0.0943373221629978,0.0102853920413636
0.0645842443019699,0.0154381618084127,,,,
0.0648987432583533,0.0146405536183137,,,,
0.0681292069057962,0.0142342238297789,,,,
0.0715204732876758,0.0128007301749247,,,,
0.0758135504038384,0.0117656269240965,,,,
0.0784358790095164,0.0111225615721263,,,,
0.0851882598268342,0.0103512049944104,,,,
0.0860199441249451,0.0102866784608022,,,,
